Temp_10_m_from,Temp_10_m_to,diff,nor
137.082,137.61,0.52800000000002,0.43615257048090167
137.61,138.2125,0.602499999999992,0.3537866224433466
138.2125,138.523,0.31049999999999045,0.6766169154228803
138.523,138.665,0.1419999999999959,0.8629076838031863
138.665,138.813,0.14799999999999613,0.8562741846323738
138.813,138.9175,0.10450000000000159,0.9043670536207569
138.9175,139.0365,0.11899999999999977,0.8883360972912958
139.0365,139.13299999999998,0.09649999999999181,0.9132117191818507
139.13299999999998,139.2405,0.10750000000001592,0.9010503040353349
139.2405,139.3495,0.10900000000000887,0.8993919292426397
139.3495,139.502,0.1525000000000034,0.8512990602542565
139.502,139.6275,0.12549999999998818,0.8811498065229287
139.6275,139.72,0.09250000000000114,0.917634051962382
139.72,139.7855,0.06550000000001432,0.9474847982310228
139.7855,139.87,0.08449999999999136,0.9264787175234759
139.87,139.89,0.01999999999998181,0.9977888336097187
139.89,139.9595,0.069500000000005,0.9430624654504915
139.9595,140.006,0.04650000000000887,0.9684908789386011
140.006,140.039,0.03299999999998704,0.9834162520729529
140.039,140.1115,0.07250000000001933,0.9397457158650696
140.1115,140.1765,0.06499999999999773,0.9480375898286089
140.1765,140.2035,0.026999999999986812,0.9900497512437655
140.2035,140.252,0.04850000000001842,0.9662797125483198
140.252,140.2935,0.04149999999998499,0.9740187949143044
140.2935,140.375,0.08150000000000546,0.9297954671088664
140.375,140.455,0.0800000000000125,0.9314538419015618
140.455,140.47299999999998,0.01799999999997226,1.0
140.47299999999998,140.578,0.10500000000001819,0.9038142620231708
140.578,140.665,0.08699999999998909,0.92371475953564
140.665,140.8395,0.17449999999999477,0.8269762299612876
140.8395,141.137,0.29750000000001364,0.6909894969596146
141.137,142.0595,0.9225000000000136,0.0
