ASWDIR_S_from,ASWDIR_S_to,diff,nor
0.0,0.006,0.006,1.0
0.006,0.034,0.028000000000000004,0.999598565785032
0.034,0.12,0.086,0.9985402392182982
0.12,0.3775,0.2575,0.9954108770425246
0.3775,0.9735,0.5960000000000001,0.9892342642349484
0.9735,2.095,1.1215000000000002,0.9796454606001442
2.095,4.552,2.4569999999999994,0.955276579050608
4.552,7.6355,3.083500000000001,0.9438448274289051
7.6355,12.9835,5.347999999999999,0.9025244738018556
12.9835,18.5055,5.522000000000002,0.8993494941016539
18.5055,27.9275,9.421999999999997,0.8281861559936865
27.9275,46.0745,18.147000000000002,0.6689809957393229
46.0745,59.511,13.436500000000002,0.7549335352669079
59.511,81.238,21.726999999999997,0.603656700758163
81.238,100.4645,19.2265,0.6492833486912329
100.4645,117.456,16.991500000000002,0.6900654155300298
117.456,137.715,20.259,0.6304433111023928
137.715,159.77700000000002,22.062000000000012,0.597543952484786
159.77700000000002,178.96599999999998,19.188999999999965,0.6499676115576564
178.96599999999998,200.127,21.16100000000003,0.6139845082887033
200.127,227.576,27.448999999999984,0.49924731084693486
227.576,253.864,26.28800000000001,0.5204320891913832
253.864,284.327,30.462999999999994,0.4442508233963156
284.327,310.6155,26.2885,0.5204229656864978
310.6155,344.0019999999999,33.3864999999999,0.39090569032999856
344.0019999999999,368.4995,24.497500000000116,0.5531033601868469
368.4995,410.355,41.855500000000006,0.23637176457707923
410.355,445.10900000000004,34.75400000000002,0.3659529044677795
445.10900000000004,476.38,31.270999999999958,0.42950723950112707
476.38,514.8735,38.49350000000004,0.29771821142810095
514.8735,569.683,54.80949999999996,0.0
