ASWDIFD_S_from,ASWDIFD_S_to,diff,nor
10.964,34.954,23.990000000000002,0.3733792715511183
34.954,47.571999999999996,12.617999999999995,0.6932217690901421
47.571999999999996,54.63399999999999,7.061999999999998,0.8494867107298549
54.63399999999999,62.0845,7.450500000000005,0.838559977499648
62.0845,66.653,4.568500000000007,0.9196174940233435
66.653,71.5855,4.93249999999999,0.9093798340599071
71.5855,75.28,3.694500000000005,0.9441991281113762
75.28,79.01100000000001,3.7310000000000088,0.9431725495710864
79.01100000000001,82.64949999999997,3.638499999999965,0.9457741527211369
82.64949999999997,85.78200000000002,3.13250000000005,0.9600056250878901
85.78200000000002,87.4925,1.710499999999982,1.0
87.4925,89.9965,2.5039999999999907,0.9776824637884964
89.9965,92.2795,2.2830000000000013,0.9838981859091543
92.2795,95.3985,3.1189999999999998,0.9603853185206014
95.3985,99.2115,3.8130000000000024,0.9408662635353673
99.2115,105.795,6.583500000000001,0.8629447335114607
105.795,111.676,5.881,0.8827028547321049
111.676,116.934,5.257999999999996,0.9002250035156797
116.934,122.4275,5.493499999999997,0.8936014625228517
122.4275,130.499,8.0715,0.8210940795949934
130.499,136.5685,6.069500000000005,0.8774012093938963
136.5685,142.666,6.097499999999997,0.8766136970890168
142.666,151.966,9.300000000000011,0.7865419772183935
151.966,161.43349999999995,9.467499999999944,0.7818309661088468
161.43349999999995,169.7865,8.353000000000037,0.8131767683870048
169.7865,177.5455,7.7590000000000146,0.8298832794262404
177.5455,186.001,8.4555,0.8102939108423567
186.001,196.168,10.167000000000002,0.7621572212065811
196.168,209.1,12.931999999999988,0.684390381099705
209.1,221.007,11.90700000000001,0.7132189565461956
221.007,234.1875,13.180499999999995,0.6774012093938968
234.1875,256.215,22.027499999999975,0.42857544649135243
256.215,277.808,21.593000000000018,0.44079594993671756
277.808,315.0735,37.26550000000003,0.0
