ASWDIRN_S_from,ASWDIRN_S_to,diff,nor
0.0,0.008,0.008,1.0
0.008,0.0565,0.0485,0.9994556012581659
0.0565,0.204,0.1475,0.9981248487781272
0.204,0.5195,0.3155,0.9958666021453343
0.5195,1.8695,1.35,0.9819609108261419
1.8695,4.003,2.1335,0.9714291475118961
4.003,7.9765,3.9734999999999996,0.946695970105116
7.9765,14.886,6.9094999999999995,0.9072304218082103
14.886,26.1015,11.215500000000002,0.8493494098986476
26.1015,44.3645,18.262999999999998,0.754617307847407
44.3645,66.304,21.939500000000002,0.7051979998386966
66.304,93.8235,27.519499999999994,0.6301919509637874
93.8235,134.95499999999998,41.13149999999999,0.4472202059305858
134.95499999999998,179.01600000000005,44.061000000000064,0.4078420302712574
179.01600000000005,242.66,63.64399999999995,0.14460843616420732
242.66,308.6145,65.95450000000002,0.11355082399118159
308.6145,383.0165,74.40199999999999,0.0
383.0165,442.6305,59.613999999999976,0.19877947146275254
442.6305,497.543,54.91250000000002,0.26197677232034794
497.543,534.856,37.31299999999999,0.498548270021776
534.856,576.2395,41.383500000000026,0.4438328359813959
576.2395,611.3195000000002,35.080000000000155,0.5285641315159803
611.3195000000002,651.024,39.704499999999825,0.4664018603650854
651.024,679.7339999999999,28.709999999999923,0.6141893163427168
679.7339999999999,717.342,37.60800000000006,0.49458289647014453
717.342,753.7265,36.3845,0.5110291152512297
753.7265,780.3335,26.60699999999997,0.6424577250853566
780.3335,806.2864999999998,25.95299999999986,0.6512487566201594
806.2864999999998,841.025,34.73850000000016,0.5331545554749016
841.025,865.209,24.18399999999997,0.6750275559856981
865.209,922.27,57.061000000000035,0.23309675511465916
