,0
1.01,0.7939809863339276
1.02,0.7257768865121806
1.03,0.6607427213309566
1.04,0.6007471776589424
1.05,0.5476396316102199
1.06,0.5011348781937017
1.07,0.4603624480095068
1.08,0.42499257278669045
1.09,0.3942795603089721
1.1,0.3669815805109923
1.11,0.3431134878193702
1.12,0.3215344622697564
1.13,0.3024970291146762
1.14,0.2852272727272727
1.15,0.2696761734997029
1.16,0.25549910873440285
1.17,0.24245989304812834
1.18,0.23062091503267973
1.19,0.2198989898989899
1.2,0.20963755199049317
1.21,0.20051841948900773
1.22,0.19191473559120617
1.23,0.18389483065953655
1.24,0.17651663695781342
1.25,0.16945632798573976
1.26,0.16296345811051693
1.27,0.15689096850861556
1.28,0.1511660724896019
1.29,0.14579174093879976
1.3,0.14075311942959
1.31,0.13596850861556745
1.32,0.1313458110516934
1.33,0.1269414735591206
1.34,0.12281194295900179
1.35,0.11900772430184195
1.36,0.11535650623885918
1.37,0.11186274509803922
1.38,0.10847296494355319
1.39,0.10513517528223411
1.4,0.10198009506833036
1.41,0.09897504456327985
1.42,0.09604723707664885
1.43,0.09321004159239453
1.44,0.09048573975044563
1.45,0.08798871063576946
1.46,0.0854708853238265
1.47,0.08313428401663696
1.48,0.08098781937017231
1.49,0.07887997623291741
1.5,0.07681372549019608
