,0
0.4,0.93829826618128
0.41,0.934000571918788
0.42,0.92970906774262
0.43,0.925334909377462
0.44,0.919182217343578
0.45,0.913663535439795
0.46,0.908654423238507
0.47,0.903587780529911
0.48,0.89768476035858
0.49,0.891917917386107
0.5,0.886954075093006
0.51,0.882311153208619
0.52,0.876539745784113
0.53,0.871507338252138
0.54,0.865532173516676
0.55,0.859883720930232
0.56,0.854279623708235
0.57,0.849489852624091
0.58,0.844211559805344
0.59,0.839245778534644
0.6,0.834054150127377
0.61,0.828060417896802
0.62,0.823262839879154
0.63,0.817660509485869
0.64,0.812180276414587
0.65,0.806841963140485
0.66,0.801779722350155
0.67,0.797101449275362
0.68,0.792254960535832
0.69,0.787415149229609
0.7,0.782679639813864
0.71,0.776871877733142
0.72,0.771120658268405
0.73,0.765000787818888
0.74,0.759541015073675
0.75,0.753550217672504
0.76,0.748808853616005
0.77,0.744197101606748
0.78,0.738905673044646
0.79,0.734088220831173
0.8,0.728323015653957
0.81,0.722430198097021
0.82,0.716402361384419
0.83,0.710071896672393
0.84,0.704045252403089
0.85,0.696467922461125
0.86,0.68827448859166
0.87,0.678266133914518
0.88,0.668089113513642
0.89,0.656396689571213
0.9,0.642900537603595
