,P,R,,,,,,,,
0.4,0.86631299734748,0.242572786690434,0.909135559921415,0.274955436720143,0.897642015005359,0.248811645870469,0.911749347258485,0.259358288770053,0.893474088291747,0.276589423648247
0.41,0.863277393879566,0.259803921568627,0.907501150483203,0.292929292929293,0.894710327455919,0.263814616755793,0.905339805825243,0.277035056446821,0.890673806336457,0.296494355317885
0.42,0.857470210815765,0.277926322043969,0.904494382022472,0.310903149138443,0.889255419415646,0.28030303030303,0.900450450450451,0.296939988116459,0.883040935672515,0.314022578728461
0.43,0.851409052092229,0.296197266785502,0.902112103980504,0.329916815210933,0.88135593220339,0.301247771836007,0.896218487394958,0.316844919786096,0.873393065835606,0.333036244800951
0.44,0.845447284345048,0.314468211527035,0.897270659590599,0.351604278074866,0.872830036334275,0.321152703505645,0.887799136916438,0.336155674390968,0.867807720320466,0.353980986333927
0.45,0.839033457249071,0.335264408793821,0.890295358649789,0.376114081996435,0.86235119047619,0.344325609031491,0.882136279926335,0.355763517528223,0.859643102264928,0.372103386809269
0.46,0.830038154699965,0.355466428995841,0.878817413905133,0.401812240047534,0.860481339379142,0.366458704693999,0.871600688468158,0.376114081996435,0.85170857511283,0.392453951277481
0.47,0.821811100292113,0.376114081996435,0.867477203647416,0.423945335710042,0.854670150228609,0.388740344622698,0.867205169628433,0.398692810457516,0.843254561770864,0.418746286393345
0.48,0.814489239163383,0.39913844325609,0.855039637599094,0.448603683897802,0.845121951219512,0.411764705882353,0.860675512665862,0.423945335710042,0.836148648648649,0.441176470588235
0.49,0.807779670641681,0.42260843731432,0.8446088794926,0.474747474747475,0.840948029697316,0.437462863933452,0.854066307735902,0.447712418300654,0.832140015910899,0.466131907308378
0.5,0.803700724054706,0.445187165775401,0.836970152997241,0.495692216280452,0.833962264150943,0.45959595959596,0.842732327243844,0.472816399286988,0.820188492063492,0.491235888294712
0.51,0.797086891009543,0.471479500891266,0.826977401129943,0.521836007130125,0.824273072060683,0.48425430778372,0.836155378486056,0.498811645870469,0.811210131332082,0.513814616755793
0.52,0.79054856328663,0.494503862150921,0.819333333333333,0.547682709447415,0.816454173682944,0.504159239453357,0.829468259545561,0.525995246583482,0.800621669626998,0.535650623885918
