,0,,,,,,,,,
1.01,0.570999570999571,0.988562091503268,0.564564054673572,0.987819370172311,0.565173029504294,0.987373737373737,0.572892448118488,0.988265002970885,0.563696425546332,0.988562091503268
1.02,0.597040512496617,0.982917409387997,0.588978901451082,0.982768865121806,0.58978936094252,0.981580510992276,0.598533538517244,0.982174688057041,0.590641185926058,0.982471776589424
1.03,0.623283129676992,0.977421271538919,0.613884482597742,0.977272727272727,0.614333832335329,0.97534165181224,0.625786163522013,0.975490196078431,0.616891638545182,0.97756981580511
1.04,0.648699622791344,0.970736779560309,0.638758782201405,0.972370766488413,0.639588437040666,0.969548425430778,0.653140967838894,0.968360071301248,0.643644234553325,0.971776589423648
1.05,0.676534973418117,0.964052287581699,0.662554796615353,0.965389185977421,0.664241057702163,0.962715389185977,0.678298229068427,0.961527035056447,0.667934224049332,0.965389185977421
1.06,0.698937554206418,0.957664884135472,0.683398499418789,0.960635769459299,0.684657883552911,0.957219251336898,0.702039480859418,0.956179441473559,0.689644116704072,0.95855614973262
1.07,0.719601031043371,0.953802733214498,0.704458319640705,0.955288175876411,0.704192802905249,0.950534759358289,0.724481703863147,0.949940582293524,0.709941391131262,0.953654188948307
1.08,0.74018756512678,0.949643493761141,0.721614612695907,0.95068330362448,0.722921628671884,0.946821152703505,0.743913857677903,0.944147355912062,0.729618634391414,0.949197860962567
1.09,0.755317884729649,0.944147355912062,0.738307995822212,0.94503862150921,0.737914967967385,0.941027926322044,0.761686746987952,0.939096850861557,0.747207524985303,0.94399881164587
1.1,0.771574841540712,0.940285204991087,0.752290303390839,0.939245395127748,0.752894831085114,0.936868686868687,0.777517275419546,0.935977421271539,0.762957593330917,0.938057040998218
1.11,0.786026200873362,0.935828877005348,0.765170862215736,0.934640522875817,0.763237979306147,0.931372549019608,0.79159303206261,0.931521093285799,0.779280397022333,0.933006535947712
1.12,0.797785696105879,0.931224004753416,0.779519721289038,0.930629827688651,0.774990686700608,0.927064765300059,0.801669877970456,0.927064765300059,0.792479108635098,0.929738562091503
1.13,0.807667400595778,0.926322043969103,0.791201825557809,0.927064765300059,0.786991251426398,0.922014260249554,0.813186813186813,0.923351158645276,0.804642166344294,0.926916221033868
1.14,0.817774851876234,0.92260843731432,0.800644745325596,0.922311348781937,0.794865178686621,0.915181224004753,0.823772128310928,0.91934046345811,0.816603078542297,0.922014260249554
1.15,0.826307363927428,0.920083184789067,0.809137321638958,0.91815210932858,0.804250852794542,0.910576351752822,0.832725307390893,0.915478312537136,0.826663097309597,0.917409387997623
1.16,0.83565912477984,0.916221033868093,0.818411600372489,0.913844325609032,0.814034151547492,0.906417112299465,0.840476516500068,0.911764705882353,0.835527208576469,0.914587046939988
1.17,0.843694250034308,0.913250148544266,0.825636192271442,0.910873440285205,0.821825074465204,0.901663695781343,0.848392461197339,0.909387997623292,0.843174951936281,0.912061794414736
1.18,0.852135206565586,0.909982174688057,0.835086760486405,0.907902554961378,0.829813494240263,0.898841354723708,0.854519971969166,0.905674390968509,0.849368318756074,0.908793820558526
1.19,0.85630004214075,0.905525846702317,0.841451635159376,0.9058229352347,0.836522462562396,0.896167557932264,0.860175488253609,0.902852049910873,0.856220162875597,0.9058229352347
1.2,0.863118952760387,0.901069518716577,0.848451018699414,0.903149138443256,0.843745612803594,0.892751039809863,0.866380543633762,0.899584076054664,0.861726291879614,0.901663695781343
1.21,0.869802906056682,0.898098633392751,0.855389390519187,0.900623885918004,0.849914724275156,0.888294711824124,0.874601333719919,0.896167557932264,0.867105828440498,0.899435531788473
1.22,0.874293170943889,0.89572192513369,0.861542848994724,0.897504456327986,0.857040126564073,0.885175282234106,0.879496928926587,0.893345216874629,0.872940156114484,0.897058823529412
1.23,0.878394160583941,0.893790849673203,0.868253968253968,0.893790849673203,0.861983711460151,0.880421865715983,0.88377581120944,0.890077243018419,0.879783815366637,0.894682115270351
1.24,0.881946486327551,0.891117052881759,0.874106491611962,0.890077243018419,0.866109400205309,0.877302436125965,0.886646884272997,0.887700534759358,0.88396407009277,0.891711229946524
1.25,0.886019590382903,0.88680926916221,0.880495721451756,0.886512180629828,0.869841739387664,0.873588829471182,0.891402037147993,0.883986928104575,0.887520403620715,0.888443256090315
1.26,0.889853337324154,0.883244206773619,0.88518242740134,0.882947118241236,0.875111906893465,0.871212121212121,0.895261092665258,0.88116458704694,0.892098174199342,0.885472370766488
1.27,0.893443858327053,0.880570409982175,0.890174278846154,0.880124777183601,0.877796126707702,0.868538324420677,0.898160814713482,0.877748068924539,0.895117540687161,0.882352941176471
1.28,0.896588324488249,0.878342245989305,0.893192133131619,0.877005347593583,0.882344033918837,0.865567439096851,0.900902278635877,0.875074272133096,0.89771177451129,0.879976232917409
1.29,0.900764525993884,0.875074272133096,0.896236477220783,0.873737373737374,0.885718645102227,0.862299465240642,0.903837263060564,0.871212121212121,0.900747065101387,0.877599524658348
1.3,0.90420452795318,0.872103386809269,0.89963167587477,0.870766488413547,0.890427823945829,0.859477124183007,0.9062160905286,0.868389780154486,0.904322411936625,0.8732917409388
1.31,0.90724367923065,0.86883541295306,0.90271772699197,0.868389780154486,0.892812887236679,0.856209150326797,0.908949173682569,0.866013071895425,0.906699675073495,0.870469399881165
1.32,0.91119449656035,0.865715983363042,0.905982905982906,0.866013071895425,0.897640256290045,0.853238265002971,0.912429378531073,0.863636363636364,0.909331671599938,0.867052881758764
1.33,0.914591868893791,0.86215092097445,0.90988873217364,0.862448009506833,0.899481702528663,0.850713012477718,0.916508538899431,0.86096256684492,0.911686274509804,0.863339275103981
1.34,0.916561114629512,0.85992275698158,0.912755905511811,0.86096256684492,0.902354242376363,0.848336304218657,0.919866178110562,0.85769459298871,0.912817278890115,0.860071301247772
1.35,0.918390073178492,0.857546048722519,0.915307899319297,0.858882947118241,0.90598154629335,0.845959595959596,0.920997920997921,0.855466428995841,0.914661177960735,0.858140225787285
1.36,0.921229586935639,0.854723707664884,0.918354329453038,0.855466428995841,0.907913669064748,0.843582887700535,0.923497267759563,0.853535353535353,0.917423880121154,0.854872251931075
1.37,0.922224007713322,0.852495543672014,0.919871794871795,0.852644087938205,0.909834750521418,0.842394533571004,0.925423728813559,0.851604278074866,0.918845228548516,0.851010101010101
1.38,0.924058814024883,0.849524658348188,0.921303015642638,0.84863339275104,0.911921277625423,0.83972073677956,0.927458617332035,0.848930481283422,0.92012263998709,0.846999405822935
1.39,0.926635286479467,0.848039215686275,0.922765544041451,0.846553773024361,0.915204678362573,0.836898395721925,0.930228758169935,0.845662507427213,0.92179133538861,0.843879976232917
1.4,0.929165986616615,0.845662507427213,0.925431455551938,0.844325609031491,0.918357329842932,0.833778966131907,0.932479053721045,0.843137254901961,0.923829717827434,0.841354723707665
1.41,0.932359218519127,0.843582887700535,0.927272727272727,0.840909090909091,0.92082304526749,0.830956625074272,0.934047815333883,0.841503267973856,0.925524934383202,0.838086749851456
1.42,0.934718100890207,0.842245989304813,0.929299572509043,0.839572192513369,0.922415219189413,0.828282828282828,0.936226602617194,0.839572192513369,0.927536231884058,0.836601307189543
