,p,r,,,,,,,,
0.4,0.946582423894314,0.244800950683304,0.910005920663114,0.228312537136067,0.886384544618215,0.286244800950683,0.89143135345667,0.271984551396316,0.919770773638968,0.286096256684492
0.41,0.942461374533831,0.262774806892454,0.90450054884742,0.244800950683304,0.884286934244236,0.307635175282234,0.887089518668466,0.292929292929293,0.915925266903915,0.305852644087938
0.42,0.938210578348987,0.281937017231135,0.894657258064516,0.263666072489602,0.880543347982421,0.32739156268568,0.88024948024948,0.314468211527035,0.910981697171381,0.325311942959002
0.43,0.933545744196632,0.304664289958408,0.887807139545665,0.284462269756387,0.8766209707299,0.351455733808675,0.873692367299496,0.334967320261438,0.908023483365949,0.344622697563874
0.44,0.927517909818795,0.326945929887106,0.884929154143409,0.306149732620321,0.873356401384083,0.374925727866904,0.869269340974212,0.360516934046346,0.90443061149762,0.366904337492573
0.45,0.919670846394984,0.34863339275104,0.882258710452543,0.327243018419489,0.867205169628433,0.398692810457516,0.861941551897884,0.38116458704694,0.901204819277108,0.388888888888889
0.46,0.909782608695652,0.372994652406417,0.869244935543278,0.350564468211527,0.858255918489661,0.425430778371955,0.852803006576887,0.404486036838978,0.892233009708738,0.409536541889483
0.47,0.903565365025467,0.395276292335116,0.861235761132206,0.370617944147356,0.850154624683722,0.449197860962567,0.844979448032883,0.427510398098633,0.886349786715417,0.432115270350564
0.48,0.896256345177665,0.419637551990493,0.854334514985498,0.393790849673203,0.841898269533298,0.476975638740345,0.837770382695508,0.448752228163993,0.8762233736327,0.452168746286393
0.49,0.884443117348462,0.439988116458705,0.846409173204587,0.416666666666667,0.831527093596059,0.501485442661913,0.831976896823313,0.470736779560309,0.86735246345425,0.475935828877005
0.5,0.877705931965139,0.463755199049317,0.836189940994661,0.442067736185383,0.820857473928158,0.526143790849673,0.823152709359606,0.496434937611408,0.861428934655479,0.503267973856209
0.51,0.866189719130896,0.485591206179442,0.831034482758621,0.465389185977421,0.810363596777705,0.552881758764112,0.81858407079646,0.522133095662507,0.851958663782744,0.526589423648247
0.52,0.858352003983072,0.512180629827689,0.822016974538193,0.489156268568033,0.800702915029977,0.575311942959002,0.81037527593819,0.545306001188354,0.839111715386358,0.550059417706476
0.53,0.849576271186441,0.536096256684492,0.814491385414208,0.512626262626263,0.797294648108214,0.604129530600119,0.79921096345515,0.57174688057041,0.829982891360137,0.576500297088532
0.54,0.843806104129264,0.558526440879382,0.807957323849744,0.539958407605466,0.788787483702738,0.629084967320261,0.792207792207792,0.598039215686274,0.823252962811606,0.598484848484848
0.55,0.833509402070568,0.586007130124777,0.797604035308953,0.563725490196078,0.779059449866903,0.652109328579917,0.780811670095381,0.620172311348782,0.814447040498442,0.621360665478313
0.56,0.820466786355476,0.61096256684492,0.793302770580028,0.591206179441474,0.771722625274169,0.679441473559121,0.770367763505191,0.650326797385621,0.80766369047619,0.644979203802733
0.57,0.809856495468278,0.637106357694593,0.786349026280961,0.617795603089721,0.763674388674389,0.70513963161022,0.763648580547623,0.675282234105764,0.798470295268588,0.666815210932858
0.58,0.800972622478386,0.660576351752822,0.780158444364422,0.643642305407011,0.756615384615385,0.730540701128936,0.753909990424513,0.701723113487819,0.786779661016949,0.689542483660131
0.59,0.791573899640349,0.686571598336304,0.774088093599449,0.668300653594771,0.748054617530465,0.756833036244801,0.746556473829201,0.724598930481283,0.775165082944113,0.714943553178847
0.6,0.781934008493956,0.711081402257873,0.7703081232493,0.694444444444444,0.74004252303331,0.775549613784908,0.740326614682948,0.747474747474748,0.765005400401173,0.736482471776589
