,0,,,,,,,,,
1.01,0.560907710477476,0.98767082590612,0.57067972845235,0.986482471776589,0.568017057569296,0.989304812834225,0.572166724078539,0.986928104575163,0.560304697418536,0.983363042186572
1.02,0.584290510690935,0.982323232323232,0.5943124550036,0.98098633392751,0.589873642996975,0.984699940582293,0.598011748757343,0.982917409387997,0.58508655126498,0.979055258467023
1.03,0.606598281120044,0.975044563279857,0.620069989596141,0.973856209150327,0.613050358372894,0.978312537136067,0.62156788487029,0.975193107546049,0.611463778939507,0.972964943553179
1.04,0.630338164251208,0.969102792632204,0.646217986896963,0.967023172905526,0.635974720466699,0.971628045157457,0.645678645678646,0.968805704099822,0.633746462379233,0.964646464646465
1.05,0.652344931921331,0.96078431372549,0.671064935064935,0.959447415329768,0.659166920036485,0.966131907308378,0.670946365707186,0.962566844919786,0.657578840284842,0.960190136660725
1.06,0.674109014675052,0.955288175876411,0.694657312466271,0.956030897207368,0.681165540540541,0.958407605466429,0.692067927773001,0.956476530005942,0.677473862076249,0.95291146761735
1.07,0.695278503046127,0.949346405228758,0.716175316668535,0.949049316696376,0.69993441189331,0.951128936423054,0.712092557570364,0.950831847890671,0.694308412232017,0.947712418300653
1.08,0.712442499719511,0.943256090314914,0.735263462651998,0.943107546048722,0.718690005646527,0.945335710041592,0.730389908256881,0.946078431372549,0.711024062674874,0.943701723113488
1.09,0.728110599078341,0.938799762329174,0.74982206405694,0.938948306595365,0.73759608665269,0.940730837789661,0.74693685202639,0.941770647653001,0.726740179186768,0.939839572192513
1.1,0.743289582594301,0.933749257278669,0.765760273137422,0.932857991681521,0.75418860698899,0.93612596553773,0.763084733470325,0.937759952465835,0.74274593064402,0.935383244206773
1.11,0.756262858525959,0.92825311942959,0.78016219588272,0.928847296494355,0.769788593903638,0.930332739156269,0.775487533942236,0.933303624480095,0.75660354601375,0.931818181818182
1.12,0.768869672637431,0.924539512774807,0.793037490436113,0.92379679144385,0.782958401407566,0.925430778371955,0.789626451287229,0.929441473559121,0.768370607028754,0.928847296494355
1.13,0.777666248431619,0.920677361853832,0.805226888571057,0.919934640522876,0.795203898435496,0.921122994652406,0.803792569659443,0.925579322638146,0.777958468851639,0.92379679144385
1.14,0.788041395170563,0.916221033868093,0.81547619047619,0.915775401069519,0.807556543338998,0.917557932263815,0.813238770685579,0.919786096256684,0.791384379394094,0.919637551990493
1.15,0.79768711018711,0.911913250148544,0.823197744663713,0.910873440285205,0.819198508853681,0.913992869875223,0.824230254350736,0.914587046939988,0.801169590643275,0.915775401069519
1.16,0.806783687475254,0.90805109922757,0.830455472467709,0.907308377896613,0.828316911863949,0.911616161616161,0.831887201735358,0.91146761734997,0.810258438818565,0.912804515745692
1.17,0.814572192513369,0.905080213903743,0.839354660783232,0.904188948306595,0.836363636363636,0.908793820558526,0.838824821526634,0.907605466428996,0.819836701914068,0.909833630421866
1.18,0.822764227642276,0.901960784313726,0.846207473508087,0.901515151515152,0.843970649314689,0.905525846702317,0.846678735552151,0.903149138443256,0.828241683638832,0.906120023767083
1.19,0.829749349404191,0.899881164587047,0.853032440056417,0.898395721925134,0.850244926522043,0.9024064171123,0.854622441778405,0.899435531788473,0.835026077408729,0.903743315508021
1.2,0.836361114963251,0.895870469399881,0.858732876712329,0.893939393939394,0.856677985285795,0.899435531788473,0.861950941243582,0.897801544860368,0.841681698348828,0.901069518716577
1.21,0.8421200224341,0.892156862745098,0.863439930855661,0.890374331550802,0.86674325100517,0.896613190730838,0.868307426597582,0.896167557932264,0.84726507713885,0.897355912061794
1.22,0.848815770812651,0.88903743315508,0.868516635188145,0.887997623291741,0.87300435413643,0.89349376114082,0.872930583793204,0.892899584076055,0.852832861189802,0.894385026737968
1.23,0.855338691159587,0.885323826500297,0.872711293393877,0.885026737967914,0.877852545348157,0.891414141414141,0.879206465833946,0.888740344622697,0.859679266895762,0.891859774212715
1.24,0.860761325806918,0.88339275103981,0.877104874446085,0.882055852644088,0.883813747228381,0.888146167557932,0.883084208968477,0.886363636363636,0.86403698887444,0.888294711824124
1.25,0.867232051469513,0.881016042780749,0.88117927337701,0.879084967320261,0.888026276500448,0.883541295306001,0.887992831541219,0.883244206773619,0.86916569428238,0.885175282234106
1.26,0.872070744288872,0.87893642305407,0.884926580761163,0.877302436125965,0.893443858327053,0.880570409982175,0.891493838292756,0.88116458704694,0.874283193647993,0.883244206773619
1.27,0.8779000594884,0.876856803327392,0.887732005432322,0.873885918003565,0.897739341526324,0.87893642305407,0.896661608497724,0.877748068924539,0.877442273534636,0.880570409982175
1.28,0.88231771223237,0.875371360665478,0.89138690566611,0.871657754010695,0.900565144340919,0.875816993464052,0.901744719926538,0.875222816399287,0.882388059701493,0.878193701723114
1.29,0.887430209748,0.873588829471182,0.893948655256724,0.868983957219251,0.904739919975377,0.8732917409388,0.905738969453872,0.872103386809269,0.886384129846709,0.876114081996435
