Threshold,January(Pr),January(Re),February(Pr),February(Rc),March(Pr),March(Rc),April(Pr),April(RC),May(Pr),May(Rc),June(P),June®,July(P),July(Rc),August(Pr),August(Rc),September(Pr)September(Rc),,Oct(Pr),Oct(Rc),Nov(Pr),Nov(Rc),Dec(Pr),Dec(Rc)
0.5,0.886954075093006,0.50572192513369,0.920280106247197,0.47554367201426,0.851417433231885,0.443814616755793,0.810678880284449,0.479572192513369,0.787755885012743,0.512406417112299,0.766195441387257,0.485953654188948,0.796452253714222,0.507415329768271,0.801547192184986,0.506060606060606,0.842034485850043,0.502263814616756,0.816562242896019,0.459982174688057,0.886301997111761,0.448538324420677,0.870648045011853,0.543386809269162
0.51,0.882311153208619,0.531336898395722,0.913365131899153,0.501764705882353,0.846361361198687,0.464171122994652,0.803449750534569,0.502335115864528,0.778736302168338,0.535828877005348,0.757102122716232,0.511158645276292,0.786632593919595,0.532245989304813,0.791288614533167,0.530106951871658,0.833300336567016,0.525187165775401,0.81015222377789,0.484777183600713,0.877799801783944,0.473636363636364,0.862661176725539,0.567664884135472
0.52,0.876539745784113,0.556844919786096,0.905051062655258,0.526042780748663,0.839881849789237,0.486577540106952,0.795258620689655,0.52620320855615,0.769266629045317,0.558877005347593,0.749224238512524,0.537985739750446,0.777252599631822,0.556934046345811,0.781045177167826,0.554402852049911,0.825256778138325,0.548538324420677,0.80305921975863,0.510035650623886,0.86780311233487,0.5,0.854781066001594,0.592602495543672
0.53,0.871507338252138,0.583226381461676,0.896285995712382,0.551479500891266,0.834014359932286,0.509358288770054,0.787847816644096,0.549625668449198,0.760882722659342,0.582638146167558,0.74204425711275,0.564866310160428,0.76789919924635,0.581194295900178,0.770891728823222,0.578484848484848,0.816155351650865,0.572370766488414,0.795490674014413,0.535204991087344,0.85749592928588,0.525686274509804,0.845836486585455,0.617611408199643
0.54,0.865532173516676,0.609251336898396,0.887882932166302,0.578627450980392,0.827707473762911,0.532816399286988,0.78108619685498,0.573743315508021,0.753733820112844,0.607219251336898,0.734259218174557,0.589946524064171,0.760199293980964,0.60650623885918,0.762154379176134,0.603868092691622,0.805960806971929,0.596755793226382,0.78742012279163,0.560106951871658,0.846271552313031,0.552067736185383,0.837907615016049,0.642156862745098
0.55,0.859883720930232,0.632727272727273,0.878038688321092,0.605204991087344,0.820408163265306,0.555347593582888,0.77340776452677,0.597647058823529,0.746552814674257,0.631176470588235,0.72883820925723,0.616381461675579,0.751929414265972,0.630427807486631,0.752743264591606,0.628520499108734,0.796387858810603,0.620160427807487,0.779917730698814,0.584688057040998,0.835336816906484,0.578467023172905,0.829673130193906,0.667361853832442
0.56,0.854279623708235,0.657201426024955,0.869153606553356,0.631693404634581,0.813353718138299,0.578467023172905,0.765568651596446,0.620588235294118,0.740061775442256,0.657718360071301,0.723581478433655,0.642620320855615,0.745487328052511,0.655935828877005,0.743555862741909,0.651996434937611,0.788354938675745,0.643921568627451,0.772951762397673,0.61096256684492,0.82369212850626,0.605098039215686,0.820438419993646,0.690499108734403
0.57,0.849489852624091,0.681212121212121,0.860425512060841,0.657450980392157,0.804263935207242,0.601836007130125,0.75900242028833,0.642852049910873,0.733446942136101,0.682798573975045,0.718031340506742,0.667308377896613,0.738770776961732,0.681354723707665,0.735036778939218,0.676862745098039,0.780307602655622,0.668324420677362,0.765334761649705,0.636755793226381,0.812921580323957,0.631586452762923,0.8128988983292,0.712887700534759
0.58,0.844211559805344,0.705044563279857,0.850951397677568,0.683172905525847,0.795112569295169,0.626381461675579,0.751951710261569,0.666167557932264,0.726142066893798,0.706648841354724,0.713236509189725,0.692424242424242,0.731843678841846,0.704670231729055,0.726084789870988,0.701247771836007,0.77264214846396,0.691301247771836,0.757221780523108,0.662103386809269,0.801685661047796,0.659554367201426,0.804554857343585,0.734884135472371
0.59,0.839245778534644,0.729126559714795,0.841945675452175,0.707789661319073,0.784341071964983,0.651604278074866,0.745177841215956,0.688645276292335,0.719820769636268,0.730213903743316,0.708185241228842,0.717450980392157,0.72586728340153,0.72729055258467,0.717706898378722,0.724385026737968,0.763999465414208,0.713297682709447,0.749737384741081,0.687005347593583,0.788830464609949,0.68458110516934,0.79811650594936,0.756844919786096
