Threshold,Precision(all rand),Recall(all rand),Precision(col1 rand),Recall(col1 rand),Precision(col2 rand),Recall(col2 rand),Precision(col3 rand),Recall(col3 rand),Precision(col4 rand),Recall(col3 rand)
1.01,0.567739641247632,0.986571598336304,0.546038728443052,0.903502673796791,0.566575154132764,0.981902852049911,0.566642013799321,0.982170231729055,0.513861062508412,0.793980986333928
1.02,0.592718899800715,0.980803624480095,0.563738725744726,0.870880867498514,0.591260399727929,0.97489898989899,0.591258190322694,0.974890077243018,0.518513290940426,0.725776886512181
1.03,0.618363558717251,0.97434789067142,0.582531630688445,0.839104278074866,0.61671261825591,0.967560903149138,0.616540527228121,0.966856803327392,0.52353366273007,0.660742721330957
1.04,0.64348464905568,0.968036244800951,0.601708741719663,0.810246583481878,0.641685894477773,0.960484254307784,0.641240852340757,0.958627450980392,0.528326017662121,0.600747177658942
1.05,0.667395120663938,0.961726084373143,0.620471844479758,0.783565062388592,0.665537476300996,0.953722519310755,0.664791799342792,0.950534759358289,0.533279427420848,0.54763963161022
1.06,0.689482842864123,0.955828877005347,0.638279069535217,0.759590017825312,0.687549394542853,0.947250445632799,0.686530725271968,0.942773321449792,0.537926767821722,0.501134878193702
1.07,0.709606526678263,0.950155971479501,0.654953917050691,0.738070409982175,0.707674680133251,0.941307189542484,0.706342902657647,0.935274806892454,0.542115417918097,0.460362448009507
1.08,0.728231939272316,0.944948009506833,0.670861085077002,0.718770053475936,0.726278845067369,0.935689245395128,0.724701276532581,0.928306595365419,0.546518180342117,0.424992572786691
1.09,0.7450238183261,0.939962863933452,0.685603371558068,0.701512180629828,0.743123890950153,0.930631313131313,0.7412331641383,0.921480986333928,0.550691712725522,0.394279560308972
1.1,0.760409182950227,0.93547385620915,0.699344979158428,0.685610516934046,0.758488903386311,0.925692216280452,0.756377972284259,0.915117349970291,0.554577330418113,0.366981580510992
1.11,0.774311214686508,0.930837789661319,0.712126203171471,0.671155674390968,0.772481592069548,0.921170528817587,0.770098897488731,0.908811645870469,0.558430098324352,0.34311348781937
1.12,0.786981449827492,0.926696375519905,0.723977684533315,0.657917409387998,0.785212951609539,0.917000891265597,0.782559484106238,0.902749554367201,0.561759057406831,0.321534462269756
1.13,0.798514850212256,0.922626262626263,0.73495349230509,0.645540701128936,0.796808513396828,0.912923351158645,0.793935967392019,0.896951871657754,0.565099635645169,0.302497029114676
1.14,0.809073306032735,0.918596256684492,0.745298891700847,0.634312240047534,0.807447646517839,0.909010695187166,0.804401177900822,0.891476530005942,0.568182490693779,0.285227272727273
1.15,0.818775501521616,0.914811348781937,0.754946992972546,0.623792335115865,0.817237417055607,0.905408496732026,0.813974498771066,0.885975935828877,0.571158008658009,0.269676173499703
1.16,0.827772695256523,0.91126559714795,0.763999571036059,0.613784907902555,0.826271001883772,0.901749851455734,0.822867935735192,0.880782828282828,0.574028834601522,0.255499108734403
1.17,0.836004728067703,0.907725787284611,0.772436390282611,0.60441770647653,0.834580811467967,0.898379382055853,0.8310205612114,0.875699643493761,0.576565629448564,0.242459893048128
1.18,0.843705954989377,0.904318181818182,0.780545755633955,0.595836304218657,0.842373179847427,0.895255496137849,0.83868956007804,0.87098633392751,0.579241129724285,0.23062091503268
1.19,0.85072198723199,0.901057635175282,0.787979953309377,0.587623291740939,0.849470303477711,0.892250445632798,0.845667555967985,0.866369578134284,0.581728728838869,0.21989898989899
1.2,0.857440950299096,0.897889185977421,0.79526054378252,0.579857397504456,0.856262845422989,0.889306298276887,0.852348441106424,0.861772133095662,0.584076216963406,0.209637551990493
1.21,0.863672600885544,0.894750445632799,0.802105946728997,0.572446524064171,0.862559954204962,0.886363636363636,0.858565603704624,0.857342543077837,0.586737776386879,0.200518419489008
1.22,0.86922344042303,0.891736482471777,0.808187787763978,0.565289661319073,0.868169769790809,0.883536838978015,0.864109002878237,0.853125371360665,0.588553909510013,0.191914735591206
1.23,0.874566222193637,0.88873440285205,0.814300244541107,0.558942364824718,0.873569907840552,0.880726381461676,0.869444626172846,0.848869578134284,0.590616770352277,0.183894830659537
1.24,0.879601044882451,0.885834818775995,0.820035584128685,0.552504456327986,0.878667568431301,0.878086749851456,0.874493180130355,0.844848484848485,0.592797493739337,0.176516636957813
1.25,0.884397906070788,0.882871360665478,0.825617831249579,0.546377005347594,0.883539578914231,0.875513963161022,0.879300433772077,0.840711527035056,0.594878159433062,0.16945632798574
1.26,0.888668087461362,0.88017082590612,0.830560780088746,0.540510992275698,0.887853517041334,0.872976827094474,0.883560204168065,0.836723113487819,0.596431425635673,0.162963458110517
1.27,0.892675996735484,0.877373737373737,0.835256179749214,0.534808377896613,0.891930883977732,0.870597147950089,0.887573243153813,0.832764408793821,0.597964117284055,0.156890968508616
1.28,0.896512399814855,0.87465092097445,0.839837030543813,0.529419191919192,0.895824967430455,0.868213012477718,0.891420894396999,0.828902257872846,0.599555775507559,0.151166072489602
1.29,0.900192753865428,0.872014260249554,0.844260039576858,0.5241146761735,0.899563763515693,0.865947712418301,0.895134459319027,0.825288175876411,0.60126566769178,0.1457917409388
1.3,0.903660071178773,0.869383541295306,0.848451875528266,0.518906714200832,0.903085616300056,0.863680926916221,0.898623695955573,0.821587938205585,0.602955119598348,0.14075311942959
1.31,0.906904055083231,0.866745395127748,0.85239991523043,0.51382798573975,0.906397335862867,0.861571598336304,0.901901310067985,0.818006535947712,0.604460117149065,0.135968508615567
1.32,0.910026700118719,0.864232026143791,0.856246032658406,0.508942364824718,0.909560300993984,0.859334521687463,0.905051161976888,0.814466726084373,0.605862522611413,0.131345811051693
