Threshold,Recall(all rand),Recall(col1 rand),Recall(col2 rand),Recall(col3 rand),Recall(col4 rand)
1.01,0.986571598336304,0.903502673796791,0.981902852049911,0.982170231729055,0.793980986333928
1.02,0.980803624480095,0.870880867498514,0.97489898989899,0.974890077243018,0.725776886512181
1.03,0.97434789067142,0.839104278074866,0.967560903149138,0.966856803327392,0.660742721330957
1.04,0.968036244800951,0.810246583481878,0.960484254307784,0.958627450980392,0.600747177658942
1.05,0.961726084373143,0.783565062388592,0.953722519310755,0.950534759358289,0.54763963161022
1.06,0.955828877005347,0.759590017825312,0.947250445632799,0.942773321449792,0.501134878193702
1.07,0.950155971479501,0.738070409982175,0.941307189542484,0.935274806892454,0.460362448009507
1.08,0.944948009506833,0.718770053475936,0.935689245395128,0.928306595365419,0.424992572786691
1.09,0.939962863933452,0.701512180629828,0.930631313131313,0.921480986333928,0.394279560308972
1.1,0.93547385620915,0.685610516934046,0.925692216280452,0.915117349970291,0.366981580510992
1.11,0.930837789661319,0.671155674390968,0.921170528817587,0.908811645870469,0.34311348781937
1.12,0.926696375519905,0.657917409387998,0.917000891265597,0.902749554367201,0.321534462269756
1.13,0.922626262626263,0.645540701128936,0.912923351158645,0.896951871657754,0.302497029114676
1.14,0.918596256684492,0.634312240047534,0.909010695187166,0.891476530005942,0.285227272727273
1.15,0.914811348781937,0.623792335115865,0.905408496732026,0.885975935828877,0.269676173499703
1.16,0.91126559714795,0.613784907902555,0.901749851455734,0.880782828282828,0.255499108734403
1.17,0.907725787284611,0.60441770647653,0.898379382055853,0.875699643493761,0.242459893048128
1.18,0.904318181818182,0.595836304218657,0.895255496137849,0.87098633392751,0.23062091503268
1.19,0.901057635175282,0.587623291740939,0.892250445632798,0.866369578134284,0.21989898989899
1.2,0.897889185977421,0.579857397504456,0.889306298276887,0.861772133095662,0.209637551990493
1.21,0.894750445632799,0.572446524064171,0.886363636363636,0.857342543077837,0.200518419489008
1.22,0.891736482471777,0.565289661319073,0.883536838978015,0.853125371360665,0.191914735591206
1.23,0.88873440285205,0.558942364824718,0.880726381461676,0.848869578134284,0.183894830659537
1.24,0.885834818775995,0.552504456327986,0.878086749851456,0.844848484848485,0.176516636957813
1.25,0.882871360665478,0.546377005347594,0.875513963161022,0.840711527035056,0.16945632798574
1.26,0.88017082590612,0.540510992275698,0.872976827094474,0.836723113487819,0.162963458110517
1.27,0.877373737373737,0.534808377896613,0.870597147950089,0.832764408793821,0.156890968508616
1.28,0.87465092097445,0.529419191919192,0.868213012477718,0.828902257872846,0.151166072489602
1.29,0.872014260249554,0.5241146761735,0.865947712418301,0.825288175876411,0.1457917409388
1.3,0.869383541295306,0.518906714200832,0.863680926916221,0.821587938205585,0.14075311942959
1.31,0.866745395127748,0.51382798573975,0.861571598336304,0.818006535947712,0.135968508615567
1.32,0.864232026143791,0.508942364824718,0.859334521687463,0.814466726084373,0.131345811051693
1.33,0.861749851455734,0.504310754604872,0.85715834818776,0.811154188948307,0.126941473559121
1.34,0.859205288175876,0.499780154486037,0.855047534165181,0.80781045751634,0.122811942959002
1.35,0.856755793226382,0.495438205585264,0.85297385620915,0.80465092097445,0.119007724301842
1.36,0.854315210932858,0.49119578134284,0.850915032679739,0.80151366607249,0.115356506238859
1.37,0.851880570409982,0.487012774806892,0.848957219251337,0.798355614973262,0.111862745098039
1.38,0.849454842543078,0.482862448009507,0.847045454545454,0.795204991087344,0.108472964943553
1.39,0.846977124183007,0.478939393939394,0.845118835412953,0.792064765300059,0.105135175282234
1.4,0.84466577540107,0.474945038621509,0.843215983363042,0.789132501485443,0.10198009506833
1.41,0.842278669043375,0.47103238265003,0.84137403446227,0.786215092097445,0.09897504456328
1.42,0.839897504456328,0.46729055258467,0.839493464052288,0.783348187759952,0.096047237076649
1.43,0.837568330362448,0.463621509209744,0.837614379084967,0.780479797979798,0.093210041592395
1.44,0.835282234105764,0.45982917409388,0.835825906120024,0.77760843731432,0.090485739750446
1.45,0.83300505050505,0.456131907308378,0.834139928698752,0.774888591800357,0.08798871063577
1.46,0.830772430184195,0.452543077837195,0.832436125965538,0.772185086155674,0.085470885323827
1.47,0.82848633392751,0.448980986333927,0.830705585264409,0.76941027926322,0.083134284016637
1.48,0.826311645870469,0.445579322638146,0.829010695187166,0.766742424242424,0.080987819370172
1.49,0.824101307189542,0.442256387403446,0.82729055258467,0.764084967320261,0.078879976232917
1.5,0.821834521687463,0.439021093285799,0.825649138443256,0.761589423648247,0.076813725490196
