Threshold,Recall(all rand),Recall(col1 rand),Recall(col2 rand),Recall(col3 rand),Recall(col4 rand)
0.4,0.269743018419489,0.064916815210933,0.0291770647653,0.029123588829471,0.084331550802139
0.41,0.289104278074866,0.071871657754011,0.033046642899584,0.032984254307784,0.092240047534165
0.42,0.309312240047534,0.079722222222222,0.037664884135472,0.037442067736185,0.1008853238265
0.43,0.329760843731432,0.087997623291741,0.042751039809863,0.042494058229352,0.110057932263815
0.44,0.351170528817588,0.09701871657754,0.048744800950683,0.048122400475342,0.11965834818776
0.45,0.372636660724896,0.106732026143791,0.055346108140226,0.054609328579917,0.130153000594177
0.46,0.395197563874034,0.117335115864528,0.062713903743316,0.06184789067142,0.14099376114082
0.47,0.418137254901961,0.12846256684492,0.071121509209745,0.069986631016043,0.152673796791444
0.48,0.441558229352347,0.14,0.080626856803327,0.079331550802139,0.164803921568627
0.49,0.465005941770648,0.152149435531789,0.091249257278669,0.089980689245395,0.177804515745692
0.5,0.489221628045158,0.165612002376708,0.102914438502674,0.101653297682709,0.191938502673797
0.51,0.513351158645276,0.179165181224005,0.115147058823529,0.113752228163993,0.20565210932858
0.52,0.537920380273321,0.193270944741533,0.128775995246583,0.127905525846702,0.219787581699346
0.53,0.562645573380868,0.20807486631016,0.143541295306001,0.143382352941176,0.234621212121212
0.54,0.587755496137849,0.223547237076649,0.159206773618538,0.159768270944742,0.249744503862151
0.55,0.612342543077837,0.239585561497326,0.176515151515151,0.178097147950089,0.265359477124183
0.56,0.637225193107546,0.255907605466429,0.194500891265597,0.19760843731432,0.281409685086156
0.57,0.661769162210339,0.273027332144979,0.213658645276292,0.218202614379085,0.298060011883541
0.58,0.68613339275104,0.290668449197861,0.233181818181818,0.240138146167558,0.314805407011289
0.59,0.709852941176471,0.308351158645276,0.253648247177659,0.263319964349376,0.331426024955437
0.6,0.733425430778372,0.326632501485443,0.275153000594177,0.287421271538919,0.348429887106358
0.61,0.756200237670826,0.345081699346405,0.29688651218063,0.312563874034462,0.365491681521093
0.62,0.777926322043969,0.363927510398099,0.3199688057041,0.338715092097445,0.383061497326203
0.63,0.799073083778966,0.383025846702317,0.343579916815211,0.36524806892454,0.400781342840166
0.64,0.819444444444444,0.401885026737968,0.368230837789661,0.392697563874034,0.41845513963161
0.65,0.838813131313131,0.421271538918598,0.393380867498514,0.420833333333333,0.436807783719548
0.66,0.856786987522282,0.440549613784908,0.419858882947118,0.449288472964944,0.455051990493167
0.67,0.873868092691622,0.459540998217469,0.447874331550802,0.478732917409388,0.473458110516934
0.68,0.889835115864528,0.47873440285205,0.476898395721925,0.508923054070113,0.492277183600713
0.69,0.904634581105169,0.498306595365419,0.507247474747475,0.540142602495544,0.511316102198455
0.7,0.917999108734403,0.518068924539513,0.539319667260844,0.571521093285799,0.53116458704694
0.71,0.930262923351159,0.538076351752822,0.57236036838978,0.603143196672608,0.552590612002377
0.72,0.941286393345217,0.559509803921569,0.60629679144385,0.635154486036839,0.574881164587047
0.73,0.950845216874628,0.58290404040404,0.640625371360665,0.666896910279263,0.59814468211527
0.74,0.959217171717171,0.609420677361854,0.674240938799762,0.697920380273321,0.622162804515746
0.75,0.966532976827094,0.634748960190137,0.70663844325609,0.72663844325609,0.64750742721331
0.76,0.972853535353535,0.648080808080808,0.736962269756387,0.753660130718954,0.662029114676174
0.77,0.978204099821747,0.660971479500891,0.766457219251337,0.780251039809863,0.67643642305407
0.78,0.982923351158645,0.673330362448009,0.794806892453951,0.805518419489008,0.690604575163399
0.79,0.986556743909685,0.685181224004753,0.821385918003565,0.829315210932858,0.704258764111705
0.8,0.989624183006536,0.696440879382056,0.846619132501485,0.85154486036839,0.717840166369578
0.81,0.992168746286393,0.707706476530006,0.869600415923945,0.872171717171717,0.730909090909091
0.82,0.994070112893642,0.718645276292335,0.890387700534759,0.890984848484849,0.743487819370172
0.83,0.995562982768865,0.729673202614379,0.909506833036245,0.908009506833036,0.756258169934641
0.84,0.996861259655377,0.74081550802139,0.926225490196078,0.923045157456922,0.768303624480095
0.85,0.997808972073678,0.752822341057635,0.940332739156269,0.936561200237671,0.780641711229946
0.86,0.998487819370172,0.765401069518717,0.952615864527629,0.94858734402852,0.793104575163399
0.87,0.998983957219251,0.778637849079026,0.962899584076055,0.959003267973856,0.805918003565062
0.88,0.999331550802139,0.793198158051099,0.971218062982769,0.967884729649436,0.819104278074866
0.89,0.999594474153298,0.809294414735591,0.97793523469994,0.975570409982175,0.832758467023173
0.9,0.999765300059418,0.82639780154486,0.983314022578728,0.98195632798574,0.847000891265597
