Threshold,Recall(all rand),Recall(col1 rand),Recall(col2 rand),Recall(col3 rand),Recall(col4 rand)
0.4,0.2697,0.0649,0.0292,0.0291,0.0843
0.5,0.4892,0.1656,0.1029,0.1017,0.1919
0.6,0.7334,0.3266,0.2752,0.2874,0.3484
0.7,0.918,0.5181,0.5393,0.5715,0.5312
0.8,0.9896,0.6964,0.8466,0.8515,0.7178
0.9,0.9998,0.8264,0.9833,0.982,0.847
