Threshold,Precision(all rand),Precision(col1 rand),Precision(col2 rand),Precision(col3 rand),Precision(col4 rand)
0.4,0.906445767796619,0.699859073730062,0.511723634847853,0.511265255032857,0.751807611833567
0.41,0.90162605392384,0.694982691506629,0.511636999218067,0.51116482504604,0.745172864840215
0.42,0.895681797652281,0.688761694536774,0.511127237542332,0.509644546888269,0.736871799322975
0.43,0.889624025198567,0.682622172545314,0.510981304262912,0.509474621549421,0.728998169903772
0.44,0.882771599913369,0.675369931856019,0.511065426965067,0.507853895594921,0.719566227176904
0.45,0.875262551899794,0.6677508991385,0.510327352417477,0.506977962876134,0.710213179865445
0.46,0.867673773159699,0.660650362985514,0.509934414745208,0.506459068239874,0.700540995342864
0.47,0.859474709478068,0.652662163691936,0.509877213720541,0.505856837629779,0.690707239052714
0.48,0.851005293428876,0.644245755065212,0.510505821937134,0.506458036984353,0.680692066997975
0.49,0.842174077970014,0.635829215603506,0.511507652339001,0.508009057363301,0.6710920986976
0.5,0.833556479637162,0.628987943786565,0.513028990336554,0.509948135562908,0.662712333825702
0.51,0.825629815445261,0.623002980356506,0.515049433902089,0.512004813960485,0.654796814105717
0.52,0.817332150651942,0.616509431727184,0.517178225205071,0.515484407832901,0.646417118841036
0.53,0.809131360774839,0.610549806909417,0.519577163381402,0.519300605245461,0.638693554713563
0.54,0.801160200858508,0.605126761696053,0.521849635555382,0.522728045917797,0.631274616924053
0.55,0.793141597177061,0.600029017641238,0.524999668644491,0.527224196158447,0.624281415885907
0.56,0.785487757538471,0.595230609234044,0.527784271836833,0.531732898449928,0.617895804590391
0.57,0.778009461788729,0.591159083745553,0.530852441954449,0.536089923725412,0.612179272050523
0.58,0.770247330260604,0.586816291155981,0.532567504758157,0.539877771840769,0.606014766689734
0.59,0.762651733020106,0.58259964131652,0.534486050639013,0.543783820263323,0.600037113036088
0.6,0.75522856072136,0.578789298574407,0.536509141043168,0.547337453856272,0.59445342713629
0.61,0.747812342545218,0.575042204432827,0.537932556568454,0.550695507661707,0.589020075360404
0.62,0.740393057242266,0.571588552177555,0.53981655514623,0.553924450382607,0.584087573385519
0.63,0.732915785042107,0.568103303927876,0.541264458999974,0.556406647417156,0.579185423227438
0.64,0.725659526048895,0.564697852658296,0.543091436483455,0.55900481900706,0.574602404035418
0.65,0.71837169303419,0.561607512391604,0.544677840325954,0.561351261383361,0.570503144898126
0.66,0.711093166323524,0.558612519047162,0.546720439466914,0.563449838115357,0.566582575340034
0.67,0.70403653453296,0.555740585052491,0.549382851020564,0.565817748969431,0.563093932022112
0.68,0.697282744074627,0.553420715069486,0.552470861949397,0.568480035574906,0.560304396195217
0.69,0.69041669878786,0.551257444095337,0.555652463978,0.571107271870583,0.557624081879947
0.7,0.683407277327577,0.549187078284558,0.559118887644931,0.573361607894623,0.555359691615246
0.71,0.676502963635912,0.547427010084615,0.562680623440195,0.57552614868236,0.554012676626873
0.72,0.669598636443849,0.546411987170281,0.566231615045905,0.577615192479409,0.553120332721153
0.73,0.662550924929202,0.546206310983673,0.569491395611709,0.57931620931799,0.552595754024345
0.74,0.655381067840458,0.547151693620018,0.572056749566136,0.58048510486884,0.552273758162006
0.75,0.648154512337618,0.547469392356929,0.57389012208657,0.58070072555984,0.552394904151877
0.76,0.642371770853972,0.544743758623058,0.576391244742896,0.581852127511953,0.550019437365404
0.77,0.636651033826681,0.542112573099415,0.578573086510289,0.582915972606784,0.547847658416455
0.78,0.630894879456616,0.539359079313102,0.580207635269802,0.583464689774641,0.545646063294779
0.79,0.625393136542206,0.536924126338923,0.581583101856478,0.583919122868854,0.543744960885577
0.8,0.619852511546377,0.534340826851298,0.582452160138985,0.583862356532269,0.541862752023646
0.81,0.614518365315347,0.532076259781799,0.582850457984867,0.583568143710908,0.540098986535065
0.82,0.609441309645669,0.530094712990274,0.582930147655915,0.583093136678297,0.538550597390077
0.83,0.604534007309831,0.528389808174501,0.582729218595789,0.582328525306682,0.537297476423258
0.84,0.599742796423101,0.526857513511686,0.581978260342018,0.581141251233324,0.535929697966932
0.85,0.595018752535623,0.525732140097034,0.580645575530099,0.579666667279591,0.534770437470808
0.86,0.590243769653001,0.524762528426827,0.578822860443706,0.577789379205015,0.533620773229311
0.87,0.58533401105711,0.523861016363068,0.576377403854703,0.575387088925509,0.532442500873429
0.88,0.580346629331249,0.523278899938459,0.573381449537181,0.572540246438868,0.53128938271034
0.89,0.575082960229511,0.522842454480634,0.569721294820338,0.569127686604285,0.529967622243755
0.9,0.569539091383741,0.522366716118007,0.565466712680753,0.565127181891391,0.528507076717738
