Threshold,Precision(all rand),Recall(all rand),Precision(col1 rand),Recall(col1 rand),Precision(col2 rand),Recall(col2 rand),Precision(col3 rand),Recall(col3 rand),Precision(col4 rand),Recall(col3 rand)
0.4,0.906445767796619,0.269743018419489,0.699859073730062,0.064916815210933,0.511723634847853,0.0291770647653,0.511265255032857,0.029123588829471,0.751807611833567,0.084331550802139
0.41,0.90162605392384,0.289104278074866,0.694982691506629,0.071871657754011,0.511636999218067,0.033046642899584,0.51116482504604,0.032984254307784,0.745172864840215,0.092240047534165
0.42,0.895681797652281,0.309312240047534,0.688761694536774,0.079722222222222,0.511127237542332,0.037664884135472,0.509644546888269,0.037442067736185,0.736871799322975,0.1008853238265
0.43,0.889624025198567,0.329760843731432,0.682622172545314,0.087997623291741,0.510981304262912,0.042751039809863,0.509474621549421,0.042494058229352,0.728998169903772,0.110057932263815
0.44,0.882771599913369,0.351170528817588,0.675369931856019,0.09701871657754,0.511065426965067,0.048744800950683,0.507853895594921,0.048122400475342,0.719566227176904,0.11965834818776
0.45,0.875262551899794,0.372636660724896,0.6677508991385,0.106732026143791,0.510327352417477,0.055346108140226,0.506977962876134,0.054609328579917,0.710213179865445,0.130153000594177
0.46,0.867673773159699,0.395197563874034,0.660650362985514,0.117335115864528,0.509934414745208,0.062713903743316,0.506459068239874,0.06184789067142,0.700540995342864,0.14099376114082
0.47,0.859474709478068,0.418137254901961,0.652662163691936,0.12846256684492,0.509877213720541,0.071121509209745,0.505856837629779,0.069986631016043,0.690707239052714,0.152673796791444
0.48,0.851005293428876,0.441558229352347,0.644245755065212,0.14,0.510505821937134,0.080626856803327,0.506458036984353,0.079331550802139,0.680692066997975,0.164803921568627
0.49,0.842174077970014,0.465005941770648,0.635829215603506,0.152149435531789,0.511507652339001,0.091249257278669,0.508009057363301,0.089980689245395,0.6710920986976,0.177804515745692
0.5,0.833556479637162,0.489221628045158,0.628987943786565,0.165612002376708,0.513028990336554,0.102914438502674,0.509948135562908,0.101653297682709,0.662712333825702,0.191938502673797
0.51,0.825629815445261,0.513351158645276,0.623002980356506,0.179165181224005,0.515049433902089,0.115147058823529,0.512004813960485,0.113752228163993,0.654796814105717,0.20565210932858
0.52,0.817332150651942,0.537920380273321,0.616509431727184,0.193270944741533,0.517178225205071,0.128775995246583,0.515484407832901,0.127905525846702,0.646417118841036,0.219787581699346
