Threshold,Precision(all rand),Recall(all rand),Sum,
1.01,0.567739641247632,0.986571598336304,1.55431123958394,
1.02,0.592718899800715,0.980803624480095,1.57352252428081,
1.03,0.618363558717251,0.97434789067142,1.59271144938867,
1.04,0.64348464905568,0.968036244800951,1.61152089385663,
1.05,0.667395120663938,0.961726084373143,1.62912120503708,
1.06,0.689482842864123,0.955828877005347,1.64531171986947,
1.07,0.709606526678263,0.950155971479501,1.65976249815776,
1.08,0.728231939272316,0.944948009506833,1.67317994877915,
1.09,0.7450238183261,0.939962863933452,1.68498668225955,
1.1,0.760409182950227,0.93547385620915,1.69588303915938,
1.11,0.774311214686508,0.930837789661319,1.70514900434783,
1.12,0.786981449827492,0.926696375519905,1.7136778253474,
1.13,0.798514850212256,0.922626262626263,1.72114111283852,
1.14,0.809073306032735,0.918596256684492,1.72766956271723,
1.15,0.818775501521616,0.914811348781937,1.73358685030355,
1.16,0.827772695256523,0.91126559714795,1.73903829240447,
1.17,0.836004728067703,0.907725787284611,1.74373051535231,
1.18,0.843705954989377,0.904318181818182,1.74802413680756,
1.19,0.85072198723199,0.901057635175282,1.75177962240727,
1.2,0.857440950299096,0.897889185977421,1.75533013627652,
1.21,0.863672600885544,0.894750445632799,1.75842304651834,
1.22,0.86922344042303,0.891736482471777,1.76095992289481,
1.23,0.874566222193637,0.88873440285205,1.76330062504569,
1.24,0.879601044882451,0.885834818775995,1.76543586365845,Intercept
1.25,0.884397906070788,0.882871360665478,1.76726926673627,Intercept
1.26,0.888668087461362,0.88017082590612,1.76883891336748,
1.27,0.892675996735484,0.877373737373737,1.77004973410922,
1.28,0.896512399814855,0.87465092097445,1.77116332078931,
1.29,0.900192753865428,0.872014260249554,1.77220701411498,
1.3,0.903660071178773,0.869383541295306,1.77304361247408,
1.31,0.906904055083231,0.866745395127748,1.77364945021098,
1.32,0.910026700118719,0.864232026143791,1.77425872626251,
1.33,0.913084400458329,0.861749851455734,1.77483425191406,
1.34,0.915726797203506,0.859205288175876,1.77493208537938,
1.35,0.918341416502403,0.856755793226382,1.77509720972879,
1.36,0.920861546935318,0.854315210932858,1.77517675786818,Maximum
1.37,0.92320546048713,0.851880570409982,1.77508603089711,
1.38,0.925329976262097,0.849454842543078,1.77478481880518,
1.39,0.927626323675592,0.846977124183007,1.7746034478586,
1.4,0.929733945494143,0.84466577540107,1.77439972089521,
1.41,0.931722354224794,0.842278669043375,1.77400102326817,
1.42,0.933761939992866,0.839897504456328,1.77365944444919,
1.43,0.935617795374105,0.837568330362448,1.77318612573655,
1.44,0.937339765495031,0.835282234105764,1.7726219996008,
1.45,0.938949268385794,0.83300505050505,1.77195431889084,
1.46,0.940580921516228,0.830772430184195,1.77135335170042,
1.47,0.942115353755458,0.82848633392751,1.77060168768297,
1.48,0.943592066181871,0.826311645870469,1.76990371205234,
1.49,0.944979193884381,0.824101307189542,1.76908050107392,
1.5,0.946345276560952,0.821834521687463,1.76817979824842,
,,,1.77517675786818,
