Threshold,Precision(all rand),Precision(col1 rand),Precision(col2 rand),Precision(col3 rand),Precision(col4 rand)
1.01,0.567739641247632,0.546038728443052,0.566575154132764,0.566642013799321,0.513861062508412
1.02,0.592718899800715,0.563738725744726,0.591260399727929,0.591258190322694,0.518513290940426
1.03,0.618363558717251,0.582531630688445,0.61671261825591,0.616540527228121,0.52353366273007
1.04,0.64348464905568,0.601708741719663,0.641685894477773,0.641240852340757,0.528326017662121
1.05,0.667395120663938,0.620471844479758,0.665537476300996,0.664791799342792,0.533279427420848
1.06,0.689482842864123,0.638279069535217,0.687549394542853,0.686530725271968,0.537926767821722
1.07,0.709606526678263,0.654953917050691,0.707674680133251,0.706342902657647,0.542115417918097
1.08,0.728231939272316,0.670861085077002,0.726278845067369,0.724701276532581,0.546518180342117
1.09,0.7450238183261,0.685603371558068,0.743123890950153,0.7412331641383,0.550691712725522
1.1,0.760409182950227,0.699344979158428,0.758488903386311,0.756377972284259,0.554577330418113
1.11,0.774311214686508,0.712126203171471,0.772481592069548,0.770098897488731,0.558430098324352
1.12,0.786981449827492,0.723977684533315,0.785212951609539,0.782559484106238,0.561759057406831
1.13,0.798514850212256,0.73495349230509,0.796808513396828,0.793935967392019,0.565099635645169
1.14,0.809073306032735,0.745298891700847,0.807447646517839,0.804401177900822,0.568182490693779
1.15,0.818775501521616,0.754946992972546,0.817237417055607,0.813974498771066,0.571158008658009
1.16,0.827772695256523,0.763999571036059,0.826271001883772,0.822867935735192,0.574028834601522
1.17,0.836004728067703,0.772436390282611,0.834580811467967,0.8310205612114,0.576565629448564
1.18,0.843705954989377,0.780545755633955,0.842373179847427,0.83868956007804,0.579241129724285
1.19,0.85072198723199,0.787979953309377,0.849470303477711,0.845667555967985,0.581728728838869
1.2,0.857440950299096,0.79526054378252,0.856262845422989,0.852348441106424,0.584076216963406
1.21,0.863672600885544,0.802105946728997,0.862559954204962,0.858565603704624,0.586737776386879
1.22,0.86922344042303,0.808187787763978,0.868169769790809,0.864109002878237,0.588553909510013
1.23,0.874566222193637,0.814300244541107,0.873569907840552,0.869444626172846,0.590616770352277
1.24,0.879601044882451,0.820035584128685,0.878667568431301,0.874493180130355,0.592797493739337
1.25,0.884397906070788,0.825617831249579,0.883539578914231,0.879300433772077,0.594878159433062
1.26,0.888668087461362,0.830560780088746,0.887853517041334,0.883560204168065,0.596431425635673
1.27,0.892675996735484,0.835256179749214,0.891930883977732,0.887573243153813,0.597964117284055
1.28,0.896512399814855,0.839837030543813,0.895824967430455,0.891420894396999,0.599555775507559
1.29,0.900192753865428,0.844260039576858,0.899563763515693,0.895134459319027,0.60126566769178
1.3,0.903660071178773,0.848451875528266,0.903085616300056,0.898623695955573,0.602955119598348
1.31,0.906904055083231,0.85239991523043,0.906397335862867,0.901901310067985,0.604460117149065
1.32,0.910026700118719,0.856246032658406,0.909560300993984,0.905051161976888,0.605862522611413
1.33,0.913084400458329,0.860099715244069,0.912659487142177,0.908160940376623,0.607460957214652
1.34,0.915726797203506,0.863399224497861,0.915351698102406,0.910843163626436,0.60833063542985
1.35,0.918341416502403,0.866725569429466,0.918009042250459,0.913510979346585,0.609701526612989
1.36,0.920861546935318,0.869965456367946,0.920570434961479,0.916085601989796,0.611076138616978
1.37,0.92320546048713,0.872979356216434,0.922961393490541,0.918476579789697,0.612194130558491
1.38,0.925329976262097,0.875687281288977,0.925133481619204,0.920640161794599,0.612771670722497
1.39,0.927626323675592,0.878754347138792,0.927478725832219,0.92299516707518,0.61404787312494
1.4,0.929733945494143,0.881516261014369,0.929621635431064,0.925159216257212,0.615015945820045
1.41,0.931722354224794,0.884143638244421,0.931653960343112,0.927208005157384,0.615906527888188
1.42,0.933761939992866,0.886917835061138,0.933732172832653,0.929318241494099,0.617163637751985
1.43,0.935617795374105,0.889430338263372,0.93562110698511,0.931232376080919,0.61791844331308
1.44,0.937339765495031,0.891717341644894,0.937377971172876,0.933003728550143,0.618395005329679
1.45,0.938949268385794,0.893860798183565,0.939027265658314,0.934669612285596,0.6189809396422
1.46,0.940580921516228,0.896080098122553,0.940692632699206,0.936359575334224,0.619564983310003
1.47,0.942115353755458,0.898170104777696,0.942261065309293,0.937946707470551,0.620231841656139
1.48,0.943592066181871,0.900203470400759,0.943765388673936,0.93947490558311,0.621144972942182
1.49,0.944979193884381,0.902123752761121,0.945179673949568,0.940912849104784,0.621774155777247
1.5,0.946345276560952,0.90404903997039,0.946579926600192,0.942345654051868,0.622431661430686
