,J_p,J_r,F_p,F_r,M_p,M_r,A_p,A_r,M_p,M_r,June_p,June_r,July_p,July_r,Aug_p,Aug_r,Sep_p,Sep_r,Oct_p,Oct_r,No_p,No_r,Dec_p,Dec_r
1.11,0.736223064207031,0.897076648841355,0.770744944005517,0.916417112299465,0.808477505956367,0.925454545454545,0.770810323780736,0.945472370766488,0.788125934368478,0.949108734402852,0.77592600671873,0.951069518716578,0.768804639487579,0.949946524064171,0.795692150774723,0.945597147950089,0.788228091917638,0.940998217468806,0.737497371188223,0.937647058823529,0.801430040190672,0.917058823529412,0.755531123394129,0.894206773618538
1.12,0.747887450557353,0.889786096256684,0.783625103473649,0.911212121212121,0.821851145038168,0.921176470588235,0.783945307865702,0.942299465240641,0.80154020385051,0.946203208556149,0.788726129759222,0.948270944741533,0.780578815924783,0.947130124777184,0.808906089856358,0.942584670231729,0.801391871107253,0.938057040998218,0.74948489010989,0.933689839572192,0.8152089074372,0.912263814616756,0.766409652646321,0.887682709447415
1.13,0.758112635975582,0.883262032085561,0.795168083673885,0.905258467023173,0.83336035802309,0.916131907308378,0.796399854905991,0.939269162210339,0.814278681967818,0.943547237076649,0.799867281995596,0.945383244206774,0.79077299661189,0.944402852049911,0.821093129390508,0.939661319073084,0.814370420961132,0.935204991087344,0.760096118837836,0.930338680926916,0.827299182260084,0.907094474153297,0.777247164535486,0.881960784313725
1.14,0.767271649058194,0.876399286987522,0.805523204798902,0.900017825311943,0.843704155471673,0.912388591800356,0.807669235383692,0.935989304812834,0.826710730339718,0.940873440285205,0.809948373852965,0.942442067736185,0.800233343939876,0.941408199643494,0.832243353232728,0.936844919786096,0.82609657439009,0.931942959001782,0.770111367809964,0.926934046345811,0.838526395997946,0.902335115864527,0.786713006710764,0.875579322638146
1.15,0.776136490117823,0.870089126559715,0.815444090702358,0.894866310160428,0.85424137815464,0.908663101604278,0.818422205532607,0.932388591800356,0.837597861371014,0.938288770053476,0.819334389857369,0.94,0.809073172230501,0.938770053475936,0.8423302531137,0.934295900178253,0.836269130811435,0.929197860962567,0.779071864386403,0.924081996434938,0.848284693671227,0.897397504456328,0.794987942384149,0.86969696969697
1.16,0.784162068574942,0.863850267379679,0.824492220370584,0.890730837789661,0.863542783250812,0.904688057040998,0.82844656336909,0.929233511586453,0.848105558965083,0.936060606060606,0.828031793499646,0.93777183600713,0.817260700389105,0.935989304812834,0.851711274374053,0.931978609625668,0.846280345832587,0.926488413547237,0.786898725503632,0.921176470588235,0.856964493398098,0.893137254901961,0.803257771591436,0.864081996434938
1.17,0.791442530721019,0.8575935828877,0.833299805538792,0.886060606060606,0.871942694398895,0.900463458110517,0.837570075391456,0.926791443850267,0.857552143020857,0.933707664884136,0.836015166964058,0.935383244206773,0.825168985457009,0.933529411764706,0.860193053378434,0.929269162210339,0.854786567262651,0.923778966131907,0.794641204417844,0.918270944741533,0.864789416191285,0.88903743315508,0.810415299994954,0.858823529411765
1.18,0.799197592778335,0.852192513368984,0.841156462585034,0.881639928698752,0.87968886558294,0.897094474153298,0.845915336662424,0.923992869875223,0.866096441062874,0.931354723707665,0.843704169285565,0.933172905525847,0.831735516132114,0.930980392156863,0.867613437244464,0.926737967914438,0.862665242355455,0.921283422459893,0.802062016714832,0.915222816399287,0.872438398537734,0.884848484848485,0.817773374105267,0.853297682709447
1.19,0.805969389486544,0.84668449197861,0.848231201129827,0.877896613190731,0.886142639934939,0.893440285204991,0.854168043895022,0.921283422459893,0.873730092204526,0.929019607843137,0.850554497044311,0.931016042780749,0.838820290741665,0.928787878787879,0.874034862942109,0.924171122994652,0.869929267180985,0.918573975044563,0.808474683344389,0.912495543672014,0.879501779359431,0.881069518716578,0.82445988322736,0.84825311942959
1.2,0.811991257808601,0.841069518716578,0.855032011583483,0.873672014260249,0.89233795261511,0.889554367201426,0.861717953432397,0.918966131907308,0.880979016237839,0.926488413547237,0.8571452058398,0.929322638146168,0.845079354754781,0.926363636363636,0.880216488528831,0.921889483065953,0.877268149463155,0.916096256684492,0.815192743764172,0.909964349376114,0.886649011871949,0.877308377896613,0.83086777222076,0.84397504456328
